key,detailed_label,page_confidence,image_path,question,answer,confidence,region,words,bboxes
proprietor_name,1040_sch_c,0.9999999999999992,debug_images\1040_sch_c_2024_12_05_220236\page_1\proprietor_name_crop.png,This is a Schedule C from a 1040. Locate the 'Name of proprietor' field and return the value directly below it.,Devin White,0.3062600493431091,"[0, 0, 3113, 1025]","['SCHEDULE C', 'Profit or Loss From Business', 'OMB No. 1545-0074', '(Form1040)', '(Sole Proprietorship)', '2024', 'Attach to Form 1040, 1040-SR,1040-SS,1040-NR, or 1041;partnerships must generally file Form 1065', 'Department of the Treasury', 'Internal Revenue Service', 'Go to www./rs.gov/ScheduleC for instructions and the latest information.', 'Atlachment', 'Sequence No.09', 'Name of proprietor', 'Social security number (SSN)', 'Devin White', '707-362-417', 'A', ' Principal business or profossion, including product or servico (see Instructions)', 'B Enter code from instructionsd', 'Conservation officer, nature', 'Business name. If no soparate business name, leave blank.', 'DEmployer ID number (EIN) (see instr.)', 'Jones,Johnson and Reed', '620457989', 'E', 'Business address (including suite or room no.) 88477 Chelsea Street Apt. 046', 'City, town or post office, state, and ZIP code.', 'FPO AP84019', 'F', 'Accounting method1Cash', '2Accrual', '3Other (specify)', 'G', 'Did you materlally participate in the operation of this buslness during 2024? If aNo']","[[9.0, 73.0, 380.0, 138.0], [1011.0, 93.0, 2011.0, 173.0], [2584.0, 109.0, 2958.0, 167.0], [10.0, 138.0, 324.0, 192.0], [1287.0, 166.0, 1738.0, 228.0], [2619.0, 179.0, 2919.0, 279.0], [502.0, 218.0, 2510.0, 298.0], [6.0, 243.0, 477.0, 288.0], [6.0, 291.0, 441.0, 343.0], [733.0, 288.0, 2280.0, 359.0], [2597.0, 282.0, 2808.0, 327.0], [2587.0, 314.0, 2922.0, 378.0], [3.0, 349.0, 393.0, 414.0], [2299.0, 378.0, 2928.0, 439.0], [116.0, 413.0, 419.0, 475.0], [2289.0, 448.0, 2591.0, 510.0], [3.0, 487.0, 49.0, 538.0], [152.0, 487.0, 1725.0, 558.0], [2302.0, 519.0, 2899.0, 574.0], [175.0, 548.0, 853.0, 609.0], [155.0, 618.0, 1336.0, 689.0], [2302.0, 650.0, 3003.0, 711.0], [198.0, 685.0, 833.0, 743.0], [2305.0, 701.0, 2997.0, 775.0], [3.0, 759.0, 45.0, 814.0], [159.0, 756.0, 1862.0, 833.0], [159.0, 826.0, 1061.0, 894.0], [1219.0, 829.0, 1599.0, 891.0], [0.0, 890.0, 42.0, 945.0], [156.0, 897.0, 918.0, 958.0], [996.0, 906.0, 1326.0, 961.0], [1391.0, 903.0, 1859.0, 971.0], [0.0, 964.0, 42.0, 1012.0], [156.0, 961.0, 1829.0, 1022.0]]"
business_name,1040_sch_c,0.9999999999999992,debug_images\1040_sch_c_2024_12_05_220236\page_1\business_name_crop.png,This is a Schedule C from a 1040. Locate the 'Business Name' field and return the value directly below it.,"Jones,Johnson and Reed",0.8694378137588501,"[0, 0, 3113, 1025]","['SCHEDULE C', 'Profit or Loss From Business', 'OMB No. 1545-0074', '(Form1040)', '(Sole Proprietorship)', '2024', 'Attach to Form 1040, 1040-SR,1040-SS,1040-NR, or 1041;partnerships must generally file Form 1065', 'Department of the Treasury', 'Internal Revenue Service', 'Go to www./rs.gov/ScheduleC for instructions and the latest information.', 'Atlachment', 'Sequence No.09', 'Name of proprietor', 'Social security number (SSN)', 'Devin White', '707-362-417', 'A', ' Principal business or profossion, including product or servico (see Instructions)', 'B Enter code from instructionsd', 'Conservation officer, nature', 'Business name. If no soparate business name, leave blank.', 'DEmployer ID number (EIN) (see instr.)', 'Jones,Johnson and Reed', '620457989', 'E', 'Business address (including suite or room no.) 88477 Chelsea Street Apt. 046', 'City, town or post office, state, and ZIP code.', 'FPO AP84019', 'F', 'Accounting method1Cash', '2Accrual', '3Other (specify)', 'G', 'Did you materlally participate in the operation of this buslness during 2024? If aNo']","[[9.0, 73.0, 380.0, 138.0], [1011.0, 93.0, 2011.0, 173.0], [2584.0, 109.0, 2958.0, 167.0], [10.0, 138.0, 324.0, 192.0], [1287.0, 166.0, 1738.0, 228.0], [2619.0, 179.0, 2919.0, 279.0], [502.0, 218.0, 2510.0, 298.0], [6.0, 243.0, 477.0, 288.0], [6.0, 291.0, 441.0, 343.0], [733.0, 288.0, 2280.0, 359.0], [2597.0, 282.0, 2808.0, 327.0], [2587.0, 314.0, 2922.0, 378.0], [3.0, 349.0, 393.0, 414.0], [2299.0, 378.0, 2928.0, 439.0], [116.0, 413.0, 419.0, 475.0], [2289.0, 448.0, 2591.0, 510.0], [3.0, 487.0, 49.0, 538.0], [152.0, 487.0, 1725.0, 558.0], [2302.0, 519.0, 2899.0, 574.0], [175.0, 548.0, 853.0, 609.0], [155.0, 618.0, 1336.0, 689.0], [2302.0, 650.0, 3003.0, 711.0], [198.0, 685.0, 833.0, 743.0], [2305.0, 701.0, 2997.0, 775.0], [3.0, 759.0, 45.0, 814.0], [159.0, 756.0, 1862.0, 833.0], [159.0, 826.0, 1061.0, 894.0], [1219.0, 829.0, 1599.0, 891.0], [0.0, 890.0, 42.0, 945.0], [156.0, 897.0, 918.0, 958.0], [996.0, 906.0, 1326.0, 961.0], [1391.0, 903.0, 1859.0, 971.0], [0.0, 964.0, 42.0, 1012.0], [156.0, 961.0, 1829.0, 1022.0]]"
social_security_number,1040_sch_c,0.9999999999999992,debug_images\1040_sch_c_2024_12_05_220236\page_1\social_security_number_crop.png,This is a Schedule C from a 1040. What is the Social security number?,707-362-417,0.9974782466888428,"[1556, 0, 3113, 1025]","['om Business', 'OMB No.1545-0074', 'torship)', '2024', '1041:partnerships must genorally file Form 1065.', 'Allachment', 'uctlons and the latest Inlormation.d', 'Sequence No.09', 'Soclal security number (SsN', '707-362-417', 'ructions)', 'B Entor code from instructlonsd', 'DEmployer ID number (EIN) (see instr.)', '9', 'eet Apt.046', '9', 'Other (specify)', '202491-No""', 'Yao']","[[8.0, 107.0, 451.0, 168.0], [1036.0, 118.0, 1398.0, 164.0], [0.0, 176.0, 175.0, 225.0], [1070.0, 185.0, 1359.0, 276.0], [1.0, 238.0, 954.0, 292.0], [1042.0, 282.0, 1244.0, 324.0], [5.0, 306.0, 724.0, 354.0], [1038.0, 320.0, 1361.0, 377.0], [754.0, 384.0, 1369.0, 434.0], [739.0, 453.0, 1033.0, 503.0], [0.0, 507.0, 169.0, 556.0], [752.0, 522.0, 1342.0, 572.0], [751.0, 653.0, 1447.0, 710.0], [1245.0, 715.0, 1276.0, 756.0], [3.0, 783.0, 303.0, 833.0], [2.0, 838.0, 42.0, 889.0], [8.0, 916.0, 297.0, 968.0], [16.0, 985.0, 318.0, 1019.0], [1167.0, 994.0, 1246.0, 1024.0]]"
employer_identification_number,1040_sch_c,0.9999999999999992,debug_images\1040_sch_c_2024_12_05_220236\page_1\employer_identification_number_crop.png,This is a Schedule C from a 1040. What is the Employer identification number?,620457989,0.9808555841445924,"[1556, 0, 3113, 1025]","['om Business', 'OMB No.1545-0074', 'torship)', '2024', '1041:partnerships must genorally file Form 1065.', 'Allachment', 'uctlons and the latest Inlormation.d', 'Sequence No.09', 'Soclal security number (SsN', '707-362-417', 'ructions)', 'B Entor code from instructlonsd', 'DEmployer ID number (EIN) (see instr.)', '9', 'eet Apt.046', '9', 'Other (specify)', '202491-No""', 'Yao']","[[8.0, 107.0, 451.0, 168.0], [1036.0, 118.0, 1398.0, 164.0], [0.0, 176.0, 175.0, 225.0], [1070.0, 185.0, 1359.0, 276.0], [1.0, 238.0, 954.0, 292.0], [1042.0, 282.0, 1244.0, 324.0], [5.0, 306.0, 724.0, 354.0], [1038.0, 320.0, 1361.0, 377.0], [754.0, 384.0, 1369.0, 434.0], [739.0, 453.0, 1033.0, 503.0], [0.0, 507.0, 169.0, 556.0], [752.0, 522.0, 1342.0, 572.0], [751.0, 653.0, 1447.0, 710.0], [1245.0, 715.0, 1276.0, 756.0], [3.0, 783.0, 303.0, 833.0], [2.0, 838.0, 42.0, 889.0], [8.0, 916.0, 297.0, 968.0], [16.0, 985.0, 318.0, 1019.0], [1167.0, 994.0, 1246.0, 1024.0]]"
street_address,1040_sch_c,0.9999999999999992,debug_images\1040_sch_c_2024_12_05_220236\page_1\street_address_crop.png,"This is a Schedule C from a 1040. What is the street number and street name of the entity?  Locate the labels 'Number, street and room' and find its value directly below this label.",Business address (including suite or room no.) 88477 Chelsea Street Apt. 046,0.2937349081039428,"[0, 0, 3113, 1025]","['SCHEDULE C', 'Profit or Loss From Business', 'OMB No. 1545-0074', '(Form1040)', '(Sole Proprietorship)', '2024', 'Attach to Form 1040, 1040-SR,1040-SS,1040-NR, or 1041;partnerships must generally file Form 1065', 'Department of the Treasury', 'Internal Revenue Service', 'Go to www./rs.gov/ScheduleC for instructions and the latest information.', 'Atlachment', 'Sequence No.09', 'Name of proprietor', 'Social security number (SSN)', 'Devin White', '707-362-417', 'A', ' Principal business or profossion, including product or servico (see Instructions)', 'B Enter code from instructionsd', 'Conservation officer, nature', 'Business name. If no soparate business name, leave blank.', 'DEmployer ID number (EIN) (see instr.)', 'Jones,Johnson and Reed', '620457989', 'E', 'Business address (including suite or room no.) 88477 Chelsea Street Apt. 046', 'City, town or post office, state, and ZIP code.', 'FPO AP84019', 'F', 'Accounting method1Cash', '2Accrual', '3Other (specify)', 'G', 'Did you materlally participate in the operation of this buslness during 2024? If aNo']","[[9.0, 73.0, 380.0, 138.0], [1011.0, 93.0, 2011.0, 173.0], [2584.0, 109.0, 2958.0, 167.0], [10.0, 138.0, 324.0, 192.0], [1287.0, 166.0, 1738.0, 228.0], [2619.0, 179.0, 2919.0, 279.0], [502.0, 218.0, 2510.0, 298.0], [6.0, 243.0, 477.0, 288.0], [6.0, 291.0, 441.0, 343.0], [733.0, 288.0, 2280.0, 359.0], [2597.0, 282.0, 2808.0, 327.0], [2587.0, 314.0, 2922.0, 378.0], [3.0, 349.0, 393.0, 414.0], [2299.0, 378.0, 2928.0, 439.0], [116.0, 413.0, 419.0, 475.0], [2289.0, 448.0, 2591.0, 510.0], [3.0, 487.0, 49.0, 538.0], [152.0, 487.0, 1725.0, 558.0], [2302.0, 519.0, 2899.0, 574.0], [175.0, 548.0, 853.0, 609.0], [155.0, 618.0, 1336.0, 689.0], [2302.0, 650.0, 3003.0, 711.0], [198.0, 685.0, 833.0, 743.0], [2305.0, 701.0, 2997.0, 775.0], [3.0, 759.0, 45.0, 814.0], [159.0, 756.0, 1862.0, 833.0], [159.0, 826.0, 1061.0, 894.0], [1219.0, 829.0, 1599.0, 891.0], [0.0, 890.0, 42.0, 945.0], [156.0, 897.0, 918.0, 958.0], [996.0, 906.0, 1326.0, 961.0], [1391.0, 903.0, 1859.0, 971.0], [0.0, 964.0, 42.0, 1012.0], [156.0, 961.0, 1829.0, 1022.0]]"
city_state_zip,1040_sch_c,0.9999999999999992,debug_images\1040_sch_c_2024_12_05_220236\page_1\city_state_zip_crop.png,"This is a Schedule C from a 1040. What city, state and zip of this this entity in? Locate the 'City or town, state or province, country and ZIP' and return the value beneath it.",FPO AP84019,0.9853914976119996,"[0, 0, 3113, 1025]","['SCHEDULE C', 'Profit or Loss From Business', 'OMB No. 1545-0074', '(Form1040)', '(Sole Proprietorship)', '2024', 'Attach to Form 1040, 1040-SR,1040-SS,1040-NR, or 1041;partnerships must generally file Form 1065', 'Department of the Treasury', 'Internal Revenue Service', 'Go to www./rs.gov/ScheduleC for instructions and the latest information.', 'Atlachment', 'Sequence No.09', 'Name of proprietor', 'Social security number (SSN)', 'Devin White', '707-362-417', 'A', ' Principal business or profossion, including product or servico (see Instructions)', 'B Enter code from instructionsd', 'Conservation officer, nature', 'Business name. If no soparate business name, leave blank.', 'DEmployer ID number (EIN) (see instr.)', 'Jones,Johnson and Reed', '620457989', 'E', 'Business address (including suite or room no.) 88477 Chelsea Street Apt. 046', 'City, town or post office, state, and ZIP code.', 'FPO AP84019', 'F', 'Accounting method1Cash', '2Accrual', '3Other (specify)', 'G', 'Did you materlally participate in the operation of this buslness during 2024? If aNo']","[[9.0, 73.0, 380.0, 138.0], [1011.0, 93.0, 2011.0, 173.0], [2584.0, 109.0, 2958.0, 167.0], [10.0, 138.0, 324.0, 192.0], [1287.0, 166.0, 1738.0, 228.0], [2619.0, 179.0, 2919.0, 279.0], [502.0, 218.0, 2510.0, 298.0], [6.0, 243.0, 477.0, 288.0], [6.0, 291.0, 441.0, 343.0], [733.0, 288.0, 2280.0, 359.0], [2597.0, 282.0, 2808.0, 327.0], [2587.0, 314.0, 2922.0, 378.0], [3.0, 349.0, 393.0, 414.0], [2299.0, 378.0, 2928.0, 439.0], [116.0, 413.0, 419.0, 475.0], [2289.0, 448.0, 2591.0, 510.0], [3.0, 487.0, 49.0, 538.0], [152.0, 487.0, 1725.0, 558.0], [2302.0, 519.0, 2899.0, 574.0], [175.0, 548.0, 853.0, 609.0], [155.0, 618.0, 1336.0, 689.0], [2302.0, 650.0, 3003.0, 711.0], [198.0, 685.0, 833.0, 743.0], [2305.0, 701.0, 2997.0, 775.0], [3.0, 759.0, 45.0, 814.0], [159.0, 756.0, 1862.0, 833.0], [159.0, 826.0, 1061.0, 894.0], [1219.0, 829.0, 1599.0, 891.0], [0.0, 890.0, 42.0, 945.0], [156.0, 897.0, 918.0, 958.0], [996.0, 906.0, 1326.0, 961.0], [1391.0, 903.0, 1859.0, 971.0], [0.0, 964.0, 42.0, 1012.0], [156.0, 961.0, 1829.0, 1022.0]]"
gross_revenue,1040_sch_c,0.9999999999999992,debug_images\1040_sch_c_2024_12_05_220236\page_1\gross_revenue_crop.png,This is a Schedule C from a 1040. This is a table of line items from a tax return. What is total sales (revenue)?,325824,0.7377893328666687,"[93, 1107, 3113, 1845]","['Did you make any payments in 2024 that would requlre you to file Form(s) 1099? See instructions.', 'No', 'If Yes, did you or will you file required Form(s) 1099?', 'Yes', 'No', 'rtI', 'Income', 'Gross receipts or sales. See instructions for line 1 and check the box if this Income was reported to you on', 'Form W-2 and the Statutory employee box on that form was checked', '325824', '1', 'Returns and allowancos', '2', 'Subtract line 2 from line 1', '3', 'Cost of goods sold (from line 42)', '4', 'Gross profit. Subtract line 4 from line 3', '5', 'Other income, including federal and state gasoline or fuel tax credit or refund (soe instructions)', '6', 'Gross Income.Add linos 5 and 6', '7', '354.097']","[[66.0, 0.0, 2004.0, 66.0], [2768.0, 20.0, 2897.0, 69.0], [60.0, 52.0, 1155.0, 122.0], [2620.0, 82.0, 2715.0, 132.0], [2816.0, 86.0, 2900.0, 135.0], [9.0, 119.0, 85.0, 168.0], [172.0, 115.0, 388.0, 175.0], [63.0, 201.0, 2193.0, 280.0], [56.0, 253.0, 1495.0, 326.0], [2661.0, 269.0, 2851.0, 337.0], [2268.0, 280.0, 2306.0, 333.0], [63.0, 326.0, 548.0, 379.0], [2265.0, 346.0, 2309.0, 402.0], [63.0, 392.0, 579.0, 445.0], [2265.0, 412.0, 2309.0, 468.0], [63.0, 458.0, 714.0, 514.0], [2265.0, 481.0, 2306.0, 534.0], [63.0, 527.0, 853.0, 580.0], [2265.0, 547.0, 2306.0, 600.0], [56.0, 586.0, 1938.0, 666.0], [2262.0, 613.0, 2303.0, 666.0], [60.0, 659.0, 733.0, 712.0], [2262.0, 679.0, 2303.0, 728.0], [2668.0, 679.0, 2869.0, 735.0]]"
cost_of_goods_sold,1040_sch_c,0.9999999999999992,debug_images\1040_sch_c_2024_12_05_220236\page_1\cost_of_goods_sold_crop.png,This is a Schedule C from a 1040. This is a table of line items from a tax return. What is cost of goods sold?,,0.9670480489730836,"[93, 1107, 3113, 1845]","['Did you make any payments in 2024 that would requlre you to file Form(s) 1099? See instructions.', 'No', 'If Yes, did you or will you file required Form(s) 1099?', 'Yes', 'No', 'rtI', 'Income', 'Gross receipts or sales. See instructions for line 1 and check the box if this Income was reported to you on', 'Form W-2 and the Statutory employee box on that form was checked', '325824', '1', 'Returns and allowancos', '2', 'Subtract line 2 from line 1', '3', 'Cost of goods sold (from line 42)', '4', 'Gross profit. Subtract line 4 from line 3', '5', 'Other income, including federal and state gasoline or fuel tax credit or refund (soe instructions)', '6', 'Gross Income.Add linos 5 and 6', '7', '354.097']","[[66.0, 0.0, 2004.0, 66.0], [2768.0, 20.0, 2897.0, 69.0], [60.0, 52.0, 1155.0, 122.0], [2620.0, 82.0, 2715.0, 132.0], [2816.0, 86.0, 2900.0, 135.0], [9.0, 119.0, 85.0, 168.0], [172.0, 115.0, 388.0, 175.0], [63.0, 201.0, 2193.0, 280.0], [56.0, 253.0, 1495.0, 326.0], [2661.0, 269.0, 2851.0, 337.0], [2268.0, 280.0, 2306.0, 333.0], [63.0, 326.0, 548.0, 379.0], [2265.0, 346.0, 2309.0, 402.0], [63.0, 392.0, 579.0, 445.0], [2265.0, 412.0, 2309.0, 468.0], [63.0, 458.0, 714.0, 514.0], [2265.0, 481.0, 2306.0, 534.0], [63.0, 527.0, 853.0, 580.0], [2265.0, 547.0, 2306.0, 600.0], [56.0, 586.0, 1938.0, 666.0], [2262.0, 613.0, 2303.0, 666.0], [60.0, 659.0, 733.0, 712.0], [2262.0, 679.0, 2303.0, 728.0], [2668.0, 679.0, 2869.0, 735.0]]"
gross_profit,1040_sch_c,0.9999999999999992,debug_images\1040_sch_c_2024_12_05_220236\page_1\gross_profit_crop.png,This is a Schedule C from a 1040. This is a table of line items from a tax return. What is gross profit?,,0.2544186115264892,"[93, 1107, 3113, 1845]","['Did you make any payments in 2024 that would requlre you to file Form(s) 1099? See instructions.', 'No', 'If Yes, did you or will you file required Form(s) 1099?', 'Yes', 'No', 'rtI', 'Income', 'Gross receipts or sales. See instructions for line 1 and check the box if this Income was reported to you on', 'Form W-2 and the Statutory employee box on that form was checked', '325824', '1', 'Returns and allowancos', '2', 'Subtract line 2 from line 1', '3', 'Cost of goods sold (from line 42)', '4', 'Gross profit. Subtract line 4 from line 3', '5', 'Other income, including federal and state gasoline or fuel tax credit or refund (soe instructions)', '6', 'Gross Income.Add linos 5 and 6', '7', '354.097']","[[66.0, 0.0, 2004.0, 66.0], [2768.0, 20.0, 2897.0, 69.0], [60.0, 52.0, 1155.0, 122.0], [2620.0, 82.0, 2715.0, 132.0], [2816.0, 86.0, 2900.0, 135.0], [9.0, 119.0, 85.0, 168.0], [172.0, 115.0, 388.0, 175.0], [63.0, 201.0, 2193.0, 280.0], [56.0, 253.0, 1495.0, 326.0], [2661.0, 269.0, 2851.0, 337.0], [2268.0, 280.0, 2306.0, 333.0], [63.0, 326.0, 548.0, 379.0], [2265.0, 346.0, 2309.0, 402.0], [63.0, 392.0, 579.0, 445.0], [2265.0, 412.0, 2309.0, 468.0], [63.0, 458.0, 714.0, 514.0], [2265.0, 481.0, 2306.0, 534.0], [63.0, 527.0, 853.0, 580.0], [2265.0, 547.0, 2306.0, 600.0], [56.0, 586.0, 1938.0, 666.0], [2262.0, 613.0, 2303.0, 666.0], [60.0, 659.0, 733.0, 712.0], [2262.0, 679.0, 2303.0, 728.0], [2668.0, 679.0, 2869.0, 735.0]]"
interest_mortgage,1040_sch_c,0.9999999999999992,debug_images\1040_sch_c_2024_12_05_220236\page_1\interest_mortgage_crop.png,This is a Schedule C from a 1040. This is a 4 column table of line items from a tax return. What was mortgage interest? Locate the word 'Mortgage' and return the value next to it.,985313,0.3615487515926361,"[93, 1640, 3113, 3075]","['Gross profit.Subtract lino 4 from line 3', '5', 'Other Income, including federal and state gasoline or fuel tax credit or refund (soo instructions)', '6', 'Gross Income.Add linos 5 and 6', '7', '354.097', 'rt II', 'Expenses.Enter expenses for business use of your home only on line 30.', 'Advertising-', '941,412', '8', '18', 'Office expense (see instructions)', '18', '676575', '19', 'Pension and profit-shanng plans', 'exponses', '19', '968120', '(see instructions)', '9', '620.352', '20', 'Rent or lease (see instructions):', 'Commissions and fees', '10', 'Vehicles, machinery, and cqulpment', '183.661', 'a', '20a', 'Contract labor (see instructions)', '11', '388439', 'b', 'Other business property', '20b', 'Depletion', '12', '35.725', '21', 'Repairs and maintenanco', '21', '414,703', 'Depreciation and section 179', '22', 'Supplios (not included in Part lll)', '22', 'deduction', 'exponse', '(nol', '23', 'Taxes and licenses .', 'Includod in ', 'Part III', '23', '(300', '447269', 'Instructlons)', '13', '24', 'Travel and meals:', 'Employee beneht programs', 'a', 'Travel.', '24a', '101385', '(other than on line 19)', '14', '300039', 'b', 'Deductiblo meals (see instnuctions)', '24b', '656423', 'Insurance (other than health)', '15', '309300', '25', 'Utilities', '25', '228.374', 'Interest (see instructions):', '26', 'Wages (less employment credits)', '26', '163.026', '985313', 'Mortgage (paid to banks, ctc.)', '16a', '27a', 'Other expenses (from line 48)', '27a', 'Other', '16b', '217442', 'b', 'Energy efficlent commercial bldgs', 'Legal and professional serwices', '17', '198595', 'deduction (attach Form 7205)', '27b', '634.095', 'Total expenses before expenses for businoss use of home. Add lnes 8 through 27b', '28', '147288']","[[63.0, 0.0, 850.0, 48.0], [2262.0, 13.0, 2306.0, 67.0], [56.0, 54.0, 1938.0, 132.0], [2262.0, 80.0, 2306.0, 135.0], [60.0, 125.0, 730.0, 176.0], [2262.0, 147.0, 2303.0, 195.0], [2671.0, 147.0, 2869.0, 205.0], [0.0, 179.0, 101.0, 240.0], [173.0, 182.0, 1919.0, 256.0], [53.0, 256.0, 315.0, 315.0], [1019.0, 252.0, 1221.0, 318.0], [702.0, 266.0, 746.0, 314.0], [1365.0, 269.0, 1428.0, 324.0], [1494.0, 272.0, 2158.0, 333.0], [2246.0, 282.0, 2312.0, 333.0], [2658.0, 275.0, 2844.0, 330.0], [1365.0, 336.0, 1428.0, 391.0], [1494.0, 336.0, 2155.0, 404.0], [425.0, 346.0, 623.0, 391.0], [2246.0, 346.0, 2312.0, 400.0], [2693.0, 356.0, 2885.0, 413.0], [50.0, 391.0, 400.0, 449.0], [698.0, 400.0, 739.0, 445.0], [1029.0, 407.0, 1230.0, 464.0], [1362.0, 404.0, 1425.0, 458.0], [1494.0, 403.0, 2121.0, 468.0], [60.0, 464.0, 513.0, 509.0], [686.0, 461.0, 749.0, 519.0], [1488.0, 474.0, 2180.0, 532.0], [2667.0, 470.0, 2863.0, 536.0], [1412.0, 480.0, 1450.0, 525.0], [2234.0, 484.0, 2322.0, 535.0], [53.0, 522.0, 614.0, 583.0], [676.0, 520.0, 752.0, 588.0], [1063.0, 525.0, 1249.0, 583.0], [1409.0, 541.0, 1450.0, 589.0], [1491.0, 538.0, 1986.0, 603.0], [2234.0, 548.0, 2322.0, 599.0], [53.0, 596.0, 249.0, 641.0], [680.0, 593.0, 749.0, 650.0], [1026.0, 599.0, 1205.0, 666.0], [1359.0, 605.0, 1422.0, 660.0], [1491.0, 608.0, 2014.0, 663.0], [2243.0, 612.0, 2309.0, 669.0], [2633.0, 605.0, 2838.0, 663.0], [50.0, 647.0, 617.0, 698.0], [1354.0, 665.0, 1427.0, 730.0], [1491.0, 676.0, 2143.0, 731.0], [2243.0, 679.0, 2312.0, 734.0], [273.0, 695.0, 482.0, 750.0], [57.0, 708.0, 223.0, 743.0], [538.0, 705.0, 620.0, 753.0], [1359.0, 737.0, 1422.0, 794.0], [1485.0, 736.0, 1916.0, 798.0], [50.0, 750.0, 343.0, 794.0], [321.0, 750.0, 503.0, 804.0], [2243.0, 746.0, 2312.0, 801.0], [528.0, 756.0, 617.0, 804.0], [1066.0, 782.0, 1249.0, 839.0], [47.0, 794.0, 293.0, 849.0], [680.0, 798.0, 749.0, 852.0], [1359.0, 804.0, 1422.0, 858.0], [1485.0, 804.0, 1847.0, 862.0], [47.0, 868.0, 617.0, 929.0], [1406.0, 878.0, 1444.0, 926.0], [1488.0, 878.0, 1648.0, 929.0], [2230.0, 881.0, 2318.0, 932.0], [2658.0, 884.0, 2841.0, 942.0], [50.0, 925.0, 488.0, 980.0], [680.0, 929.0, 749.0, 983.0], [1073.0, 929.0, 1255.0, 983.0], [1406.0, 942.0, 1447.0, 990.0], [1488.0, 941.0, 2168.0, 996.0], [2227.0, 948.0, 2315.0, 999.0], [2683.0, 955.0, 2875.0, 1012.0], [47.0, 990.0, 607.0, 1048.0], [680.0, 996.0, 749.0, 1047.0], [1079.0, 987.0, 1265.0, 1044.0], [1356.0, 1003.0, 1419.0, 1057.0], [1481.0, 1002.0, 1649.0, 1064.0], [2237.0, 1015.0, 2306.0, 1067.0], [2668.0, 1015.0, 2872.0, 1070.0], [44.0, 1053.0, 563.0, 1118.0], [1353.0, 1070.0, 1419.0, 1128.0], [1488.0, 1073.0, 2146.0, 1134.0], [2234.0, 1079.0, 2306.0, 1134.0], [2676.0, 1072.0, 2885.0, 1138.0], [1031.0, 1104.0, 1225.0, 1180.0], [44.0, 1127.0, 610.0, 1179.0], [664.0, 1131.0, 755.0, 1182.0], [1353.0, 1134.0, 1447.0, 1195.0], [1485.0, 1140.0, 2086.0, 1201.0], [2218.0, 1144.0, 2318.0, 1204.0], [47.0, 1195.0, 173.0, 1240.0], [667.0, 1198.0, 755.0, 1249.0], [1070.0, 1195.0, 1252.0, 1252.0], [1403.0, 1220.0, 1444.0, 1265.0], [1481.0, 1217.0, 2171.0, 1282.0], [44.0, 1259.0, 614.0, 1314.0], [680.0, 1262.0, 746.0, 1316.0], [1073.0, 1275.0, 1255.0, 1332.0], [1485.0, 1278.0, 2076.0, 1329.0], [2224.0, 1281.0, 2309.0, 1332.0], [2649.0, 1291.0, 2856.0, 1349.0], [41.0, 1323.0, 1737.0, 1397.0], [2234.0, 1349.0, 2306.0, 1400.0], [2649.0, 1349.0, 2834.0, 1406.0]]"
